"S排版數","BOM_TH_PN","TH PN","PROCESSNO","GBOM","版次","狀態","WIPSTATUS","最後派立開立/確認日","CO2 NO","操作人員|生管人員","操作人員|產線人員","操作人員|工程人員","操作人員|品管人員","最新版次","區段別","核准日期","設定日期","工程人員","MAD_DESC","GBOM","TH PN","次序","類別","自製/委外","站別","中文名稱","生管群組","領班群組代碼","領班群組","工程師"
"","","BAEI35007SM","BAEI35007SM-F","BAEI35007SM-I-B","I","已核准","生產中","09/10/2018 08:42:11","","廖偲婷","吳宜軒","吳思翰","簡茂原","Y","PF","05/11/2018 10:54:20","05/10/2018 09:45:37","吳思翰","PF&DPC類","BAEI35007SM-I-B","BAEI35007SM","1","正常*","自製","PDFA","燒結","C1","PF-PRINT-A","PFA-陳鈺淇/Cherry_Chen","楊勝峰"
"","","","","","","","","","","","","","","","","","","","","BAEI35007SM-I-B","BAEI35007SM","2","正常*","自製","BCA1","導體1/烘乾","C1","PF-PRINT-A","PFA-陳鈺淇/Cherry_Chen","楊勝峰"
"","","","","","","","","","","","","","","","","","","","","BAEI35007SM-I-B","BAEI35007SM","3","正常*","自製","BCC1","檢驗(導體1)","C1","PF-PRINT-A","PFA-陳鈺淇/Cherry_Chen",""
"","","","","","","","","","","","","","","","","","","","","BAEI35007SM-I-B","BAEI35007SM","4","正常*","自製","BCE1","入出爐(導體1)","C1","PF-PRINT-A","PFA-陳鈺淇/Cherry_Chen",""
"","","","","","","","","","","","","","","","","","","","","BAEI35007SM-I-B","BAEI35007SM","5","正常*","自製","BRA1","電阻 1/烘乾","RES","PF-PRINT-A","PFA-陳鈺淇/Cherry_Chen","楊勝峰"
"","","","","","","","","","","","","","","","","","","","","BAEI35007SM-I-B","BAEI35007SM","6","正常*","自製","BRB1","檢驗(電阻 1)","RES","PF-PRINT-A","PFA-陳鈺淇/Cherry_Chen","楊勝峰"
"","","","","","","","","","","","","","","","","","","","","BAEI35007SM-I-B","BAEI35007SM","7","正常*","自製","BRA2","電阻 2/烘乾","RES","PF-PRINT-A","PFA-陳鈺淇/Cherry_Chen","楊勝峰"
"","","","","","","","","","","","","","","","","","","","","BAEI35007SM-I-B","BAEI35007SM","8","正常*","自製","BRB2","檢驗(電阻 2)","RES","PF-PRINT-A","PFA-陳鈺淇/Cherry_Chen","楊勝峰"
"","","","","","","","","","","","","","","","","","","","","BAEI35007SM-I-B","BAEI35007SM","9","正常*","自製","BRC1","入出爐(電阻)","RES","PF-PRINT-A","PFA-陳鈺淇/Cherry_Chen",""
"","","","","","","","","","","","","","","","","","","","","BAEI35007SM-I-B","BAEI35007SM","10","正常*","自製","BLA1","低介/烘乾","LD","PF-PRINT-A","PFA-陳鈺淇/Cherry_Chen","楊勝峰"
"","","","","","","","","","","","","","","","","","","","","BAEI35007SM-I-B","BAEI35007SM","11","正常*","自製","BLB1","檢驗(低介)","LD","PF-PRINT-A","PFA-陳鈺淇/Cherry_Chen",""
"","","","","","","","","","","","","","","","","","","","","BAEI35007SM-I-B","BAEI35007SM","12","正常*","自製","BLC1","入出爐(低介)","LD","PF-PRINT-A","PFA-陳鈺淇/Cherry_Chen",""
"","","","","","","","","","","","","","","","","","","","","BAEI35007SM-I-B","BAEI35007SM","13","正常*","自製","BLAB","低介 1/烘乾","LD","PF-PRINT-A","PFA-陳鈺淇/Cherry_Chen","楊勝峰"
"","","","","","","","","","","","","","","","","","","","","BAEI35007SM-I-B","BAEI35007SM","14","正常*","自製","BLBA","檢驗(低介 1)","LD","PF-PRINT-A","PFA-陳鈺淇/Cherry_Chen",""
"","","","","","","","","","","","","","","","","","","","","BAEI35007SM-I-B","BAEI35007SM","15","正常*","自製","BLC9","入出爐 1","LD","PF-PRINT-A","PFA-陳鈺淇/Cherry_Chen",""
"","","","","","","","","","","","","","","","","","","","","BAEI35007SM-I-B","BAEI35007SM","16","正常*","自製","BXAF","檢驗 A","LD","PF-FIRE","PF-FIRE陳鈺淇/Cherry_Chen","楊勝峰"
"","","","","","","","","","","","","","","","","","","","","BAEI35007SM-I-B","BAEI35007SM","17","正常*","自製","BTAF","測阻值 1","YAG","PF-FIRE","PF-FIRE陳鈺淇/Cherry_Chen","曾金源"
"","","","","","","","","","","","","","","","","","","","","BAEI35007SM-I-B","BAEI35007SM","18","正常*","自製","PDCA","清洗1","Sputter","SPUTTER","PF-SPUTTER廖秭榕/Zoe_Liao","童惠君"
"","","","","","","","","","","","","","","","","","","","","BAEI35007SM-I-B","BAEI35007SM","19","正常*","自製","PDFQ","烘乾 1","Sputter","SPUTTER","PF-SPUTTER廖秭榕/Zoe_Liao",""
"","","","","","","","","","","","","","","","","","","","","BAEI35007SM-I-B","BAEI35007SM","20","正常*","自製","PDSA","結合層 A 0","Sputter","SPUTTER","PF-SPUTTER廖秭榕/Zoe_Liao","童惠君"
"","","","","","","","","","","","","","","","","","","","","BAEI35007SM-I-B","BAEI35007SM","21","正常*","自製","PDPS","結合層 B 0","Sputter","Photo Imaging(曝光)","FD-曝光王書敏/Michelle_Wang","童惠君"
"","","","","","","","","","","","","","","","","","","","","BAEI35007SM-I-B","BAEI35007SM","22","正常*","自製","PDBA","壓乾膜 0","D/F","Photo Imaging(曝光)","FD-曝光王書敏/Michelle_Wang","張志傑"
